Frame, Time (ms), Delta (ms) , Memory (mb)
    1, 0.000, 0.000,2717
    2, 7.310, 7.310,4554
    3,21.356,14.046,4554
    4,33.804,12.448,4554
    5,47.149,13.345,4554
    6,59.862,12.713,4554
    7,73.034,13.172,4554
    8,85.641,12.607,4554
    9,98.499,12.858,4554
   10,111.024,12.525,4554
   11,124.258,13.234,4554
   12,136.658,12.400,4554
   13,150.258,13.600,4554
   14,162.933,12.675,4554
   15,176.202,13.269,4554
   16,189.085,12.883,4554
   17,202.974,13.889,4554
   18,217.204,14.230,4554
   19,230.138,12.934,4552
   20,245.209,15.071,4552
   21,258.616,13.407,4552
   22,271.983,13.367,4552
   23,285.606,13.623,4552
   24,298.814,13.208,4552
   25,312.288,13.474,4552
   26,325.917,13.629,4552
   27,339.924,14.007,4552
   28,352.453,12.529,4552
   29,365.051,12.598,4552
   30,378.639,13.588,4552
   31,391.153,12.514,4553
   32,404.051,12.898,4553
   33,416.597,12.546,4553
   34,430.487,13.890,4553
   35,446.100,15.613,4553
   36,460.090,13.990,4553
   37,472.566,12.476,4553
   38,484.986,12.420,4553
   39,498.357,13.371,4553
   40,510.991,12.634,4553
   41,523.861,12.870,4553
   42,536.804,12.943,4553
   43,549.954,13.150,4553
   44,562.619,12.665,4553
   45,575.609,12.990,4553
   46,588.049,12.440,4553
   47,601.280,13.231,4553
   48,613.878,12.598,4553
   49,627.214,13.336,4553
   50,639.418,12.204,4553
   51,652.608,13.190,4553
   52,666.000,13.392,4553
   53,678.650,12.650,4553
   54,691.640,12.990,4553
   55,703.986,12.346,4553
   56,717.350,13.364,4553
   57,730.105,12.755,4553
   58,743.315,13.210,4553
   59,756.068,12.753,4553
   60,768.870,12.802,4553
   61,782.216,13.346,4553
   62,794.815,12.599,4553
   63,806.892,12.077,4553
   64,819.900,13.008,4553
   65,833.526,13.626,4553
   66,845.808,12.282,4553
   67,859.014,13.206,4553
   68,871.577,12.563,4553
   69,885.419,13.842,4553
   70,898.078,12.659,4553
   71,912.048,13.970,4553
   72,924.678,12.630,4553
   73,937.006,12.328,4553
   74,949.959,12.953,4553
   75,963.573,13.614,4553
   76,978.205,14.632,4553
   77,992.318,14.113,4553
   78,1004.715,12.397,4553
   79,1018.090,13.375,4553
   80,1030.374,12.284,4554
   81,1043.926,13.552,4554
   82,1056.806,12.880,4554
   83,1068.949,12.143,4554
   84,1080.948,11.999,4554
   85,1094.688,13.740,4554
   86,1107.053,12.365,4554
   87,1120.419,13.366,4554
   88,1133.342,12.923,4554
   89,1146.063,12.721,4554
   90,1159.439,13.376,4554
   91,1172.772,13.333,4554
   92,1186.009,13.237,4554
   93,1199.250,13.241,4554
   94,1212.658,13.408,4554
   95,1226.140,13.482,4554
   96,1238.968,12.828,4554
   97,1252.421,13.453,4554
   98,1264.296,11.875,4554
   99,1278.204,13.908,4554
  100,1290.549,12.345,4554
  101,1303.615,13.066,4554
  102,1316.755,13.140,4554
  103,1329.679,12.924,4554
  104,1342.802,13.123,4554
  105,1355.039,12.237,4554
  106,1368.243,13.204,4554
  107,1380.073,11.830,4554
  108,1393.627,13.554,4554
  109,1406.796,13.169,4554
  110,1419.415,12.619,4554
  111,1432.637,13.222,4554
  112,1445.515,12.878,4554
  113,1458.619,13.104,4554
  114,1470.336,11.717,4554
  115,1483.534,13.198,4554
  116,1496.145,12.611,4554
  117,1509.200,13.055,4554
  118,1521.930,12.730,4554
  119,1535.623,13.693,4554
  120,1549.683,14.060,4554
  121,1562.512,12.829,4554
  122,1574.852,12.340,4554
  123,1587.235,12.383,4554
  124,1599.056,11.821,4554
  125,1612.825,13.769,4554
  126,1625.815,12.990,4554
  127,1638.569,12.754,4554
  128,1651.217,12.648,4554
  129,1664.094,12.877,4554
  130,1677.155,13.061,4554
  131,1689.633,12.478,4554
  132,1702.601,12.968,4554
  133,1715.336,12.735,4554
  134,1727.578,12.242,4554
  135,1740.371,12.793,4554
  136,1752.932,12.561,4554
  137,1765.784,12.852,4554
  138,1778.537,12.753,4554
  139,1790.507,11.970,4554
  140,1803.506,12.999,4554
  141,1816.016,12.510,4554
  142,1829.378,13.362,4554
  143,1842.028,12.650,4553
  144,1853.963,11.935,4553
  145,1867.063,13.100,4553
  146,1879.792,12.729,4553
  147,1892.818,13.026,4553
  148,1905.881,13.063,4553
  149,1919.271,13.390,4553
  150,1934.017,14.746,4553
  151,1946.426,12.409,4553
  152,1958.969,12.543,4553
  153,1971.123,12.154,4553
  154,1984.110,12.987,4553
  155,1997.077,12.967,4553
  156,2010.327,13.250,4553
  157,2022.624,12.297,4553
  158,2035.362,12.738,4553
  159,2046.225,10.863,4553
  160,2059.948,13.723,4553
  161,2072.951,13.003,4553
  162,2085.776,12.825,4553
  163,2098.835,13.059,4553
  164,2111.591,12.756,4552
  165,2123.783,12.192,4552
  166,2136.838,13.055,4552
  167,2149.664,12.826,4552
  168,2162.449,12.785,4552
  169,2175.562,13.113,4552
  170,2187.767,12.205,4552
  171,2200.824,13.057,4552
  172,2214.506,13.682,4552
  173,2228.481,13.975,4552
  174,2240.304,11.823,4552
  175,2252.744,12.440,4552
  176,2265.788,13.044,4552
  177,2278.386,12.598,4552
  178,2290.269,11.883,4552
  179,2303.785,13.516,4552
  180,2316.727,12.942,4552
  181,2329.406,12.679,4552
  182,2342.315,12.909,4552
  183,2354.434,12.119,4552
  184,2367.541,13.107,4552
  185,2381.039,13.498,4552
  186,2395.021,13.982,4552
  187,2407.310,12.289,4552
  188,2419.145,11.835,4552
  189,2433.364,14.219,4552
  190,2446.868,13.504,4552
  191,2459.810,12.942,4552
  192,2472.112,12.302,4552
  193,2484.290,12.178,4552
  194,2496.505,12.215,4552
  195,2509.217,12.712,4552
  196,2521.286,12.069,4552
  197,2533.982,12.696,4552
  198,2546.540,12.558,4552
  199,2559.376,12.836,4552
  200,2571.483,12.107,4552
  201,2584.503,13.020,4552
  202,2596.621,12.118,4552
  203,2609.783,13.162,4552
  204,2621.534,11.751,4552
  205,2633.749,12.215,4552
  206,2646.463,12.714,4552
  207,2659.343,12.880,4552
  208,2671.653,12.310,4552
  209,2684.346,12.693,4552
  210,2696.381,12.035,4552
  211,2709.291,12.910,4552
  212,2721.152,11.861,4552
  213,2733.681,12.529,4552
  214,2745.893,12.212,4552
  215,2758.903,13.010,4552
  216,2771.370,12.467,4552
  217,2784.029,12.659,4552
  218,2796.610,12.581,4552
  219,2809.197,12.587,4552
  220,2821.385,12.188,4552
  221,2834.212,12.827,4552
  222,2847.926,13.714,4552
  223,2862.087,14.161,4552
  224,2873.842,11.755,4552
  225,2885.952,12.110,4552
  226,2898.259,12.307,4552
  227,2911.685,13.426,4552
  228,2925.859,14.174,4552
  229,2937.538,11.679,4550
  230,2950.207,12.669,4550
  231,2962.722,12.515,4550
  232,2975.494,12.772,4550
  233,2988.391,12.897,4550
  234,3000.554,12.163,4550
  235,3012.780,12.226,4550
  236,3024.635,11.855,4550
  237,3038.277,13.642,4550
  238,3050.297,12.020,4550
  239,3062.737,12.440,4550
  240,3074.373,11.636,4550
  241,3086.976,12.603,4550
  242,3099.527,12.551,4550
  243,3112.227,12.700,4550
  244,3124.095,11.868,4550
  245,3137.265,13.170,4550
  246,3149.945,12.680,4550
  247,3162.540,12.595,4550
  248,3174.350,11.810,4550
  249,3187.548,13.198,4550
  250,3199.737,12.189,4549
  251,3212.531,12.794,4549
  252,3225.142,12.611,4549
  253,3237.442,12.300,4549
  254,3250.176,12.734,4549
  255,3262.817,12.641,4549
  256,3275.237,12.420,4549
  257,3287.139,11.902,4549
  258,3299.872,12.733,4550
  259,3312.593,12.721,4550
  260,3326.269,13.676,4550
  261,3338.796,12.527,4550
  262,3351.043,12.247,4550
  263,3362.416,11.373,4550
  264,3375.688,13.272,4550
  265,3387.369,11.681,4550
  266,3399.987,12.618,4550
  267,3412.640,12.653,4550
  268,3424.145,11.505,4550
  269,3437.210,13.065,4550
  270,3450.153,12.943,4550
  271,3462.328,12.175,4550
  272,3476.575,14.247,4550
  273,3488.796,12.221,4550
  274,3501.774,12.978,4550
  275,3512.605,10.831,4550
  276,3525.448,12.843,4550
  277,3537.844,12.396,4550
  278,3550.345,12.501,4550
  279,3562.814,12.469,4550
  280,3575.026,12.212,4550
  281,3587.211,12.185,4550
  282,3599.527,12.316,4548
  283,3612.125,12.598,4548
  284,3624.013,11.888,4548
  285,3635.728,11.715,4548
  286,3648.449,12.721,4548
  287,3660.601,12.152,4548
  288,3672.561,11.960,4548
  289,3685.093,12.532,4548
  290,3697.724,12.631,4548
  291,3709.933,12.209,4548
  292,3721.965,12.032,4548
  293,3734.420,12.455,4548
  294,3745.482,11.062,4548
  295,3758.197,12.715,4548
  296,3770.292,12.095,4548
  297,3783.081,12.789,4548
  298,3796.168,13.087,4548
  299,3808.041,11.873,4548
  300,3819.433,11.392,4548
  301,3832.073,12.640,4548
  302,3844.339,12.266,4548
  303,3855.993,11.654,4548
  304,3867.827,11.834,4548
  305,3880.371,12.544,4548
  306,3892.054,11.683,4548
  307,3904.607,12.553,4548
  308,3918.599,13.992,4548
  309,3931.437,12.838,4548
  310,3943.406,11.969,4548
  311,3955.627,12.221,4548
  312,3967.053,11.426,4548
  313,3977.951,10.898,4548
  314,3990.232,12.281,4548
  315,4002.937,12.705,4548
  316,4015.524,12.587,4548
  317,4027.623,12.099,4548
  318,4039.257,11.634,4548
  319,4051.285,12.028,4548
  320,4063.820,12.535,4548
  321,4076.649,12.829,4547
  322,4087.721,11.072,4547
  323,4099.626,11.905,4547
  324,4111.970,12.344,4547
  325,4123.257,11.287,4547
  326,4135.841,12.584,4547
  327,4148.895,13.054,4547
  328,4160.531,11.636,4547
  329,4172.547,12.016,4547
  330,4184.980,12.433,4547
  331,4196.224,11.244,4547
  332,4210.140,13.916,4547
  333,4220.701,10.561,4547
  334,4233.186,12.485,4547
  335,4244.858,11.672,4547
  336,4256.175,11.317,4547
  337,4268.189,12.014,4547
  338,4279.716,11.527,4547
  339,4291.228,11.512,4547
  340,4302.955,11.727,4547
  341,4315.652,12.697,4547
  342,4328.093,12.441,4547
  343,4340.024,11.931,4547
  344,4351.891,11.867,4547
  345,4364.501,12.610,4547
  346,4376.395,11.894,4547
  347,4388.301,11.906,4547
